Director,IMDb Page
Leslie Zemeckis,"{'Director': 'Leslie Zemeckis', 'IMDb Page': 'https://www.imdb.com/name/nm0366667/?ref_=fn_nme_nme_1'}"
Mireia Gabilondo,"{'Director': 'Mireia Gabilondo', 'IMDb Page': 'https://www.imdb.com/name/nm1481127/?ref_=fn_nme_nme_1'}"
Halitha shameem,"{'Director': 'Halitha shameem', 'IMDb Page': 'https://www.imdb.com/name/nm6274646/?ref_=fn_nme_nme_1'}"
Gigi Gaston,"{'Director': 'Gigi Gaston', 'IMDb Page': 'https://www.imdb.com/name/nm0309456/?ref_=fn_nme_nme_1'}"
Yukiko Mishima,"{'Director': 'Yukiko Mishima', 'IMDb Page': 'https://www.imdb.com/name/nm3446966/?ref_=fn_nme_nme_1'}"
Caroline Sascha Cogez,"{'Director': 'Caroline Sascha Cogez', 'IMDb Page': 'https://www.imdb.com/name/nm0169032/?ref_=fn_nme_nme_1'}"
Maria Essén,"{'Director': 'Maria Essén', 'IMDb Page': 'https://www.imdb.com/name/nm0261345/?ref_=fn_nme_nme_1'}"
Bonnie Rotten,"{'Director': 'Bonnie Rotten', 'IMDb Page': 'https://www.imdb.com/name/nm6720874/?ref_=fn_nme_nme_1'}"
Marsia Tzivara,"{'Director': 'Marsia Tzivara', 'IMDb Page': 'https://www.imdb.com/name/nm3103786/?ref_=fn_nme_nme_1'}"
Rachel Reichman,"{'Director': 'Rachel Reichman', 'IMDb Page': 'https://www.imdb.com/name/nm0717116/?ref_=fn_nme_nme_1'}"
Colombe Schneck,"{'Director': 'Colombe Schneck', 'IMDb Page': 'https://www.imdb.com/name/nm4073812/?ref_=fn_nme_nme_1'}"
Kanika Verma,"{'Director': 'Kanika Verma', 'IMDb Page': 'https://www.imdb.com/name/nm2185744/?ref_=fn_nme_nme_1'}"
Linda-Maria Birbeck,"{'Director': 'Linda-Maria Birbeck', 'IMDb Page': 'https://www.imdb.com/name/nm4997910/?ref_=fn_nme_nme_1'}"
Ghyslaine Côté,"{'Director': 'Ghyslaine Côté', 'IMDb Page': 'https://www.imdb.com/name/nm0194774/?ref_=fn_nme_nme_1'}"
Susanne Müller,"{'Director': 'Susanne Müller', 'IMDb Page': 'https://www.imdb.com/name/nm0447235/?ref_=fn_nme_nme_1'}"
Ginger Gentile,"{'Director': 'Ginger Gentile', 'IMDb Page': 'https://www.imdb.com/name/nm3141234/?ref_=fn_nme_nme_1'}"
Sandra Fernández Ferreira,"{'Director': 'Sandra Fernández Ferreira', 'IMDb Page': 'https://www.imdb.com/name/nm6709967/?ref_=fn_nme_nme_1'}"
Liu Jiayin,"{'Director': 'Liu Jiayin', 'IMDb Page': 'https://www.imdb.com/name/nm1883665/?ref_=fn_nme_nme_1'}"
Maja Classen,"{'Director': 'Maja Classen', 'IMDb Page': 'https://www.imdb.com/name/nm2537238/?ref_=fn_nme_nme_1'}"
Silja Somby,"{'Director': 'Silja Somby', 'IMDb Page': 'https://www.imdb.com/name/nm6418102/?ref_=fn_nme_nme_1'}"
Pilar Palomero,"{'Director': 'Pilar Palomero', 'IMDb Page': 'https://www.imdb.com/name/nm1970178/?ref_=fn_nme_nme_1'}"
Jennifer Elster,"{'Director': 'Jennifer Elster', 'IMDb Page': 'https://www.imdb.com/name/nm1170197/?ref_=fn_nme_nme_1'}"
Sandrine Veysset,"{'Director': 'Sandrine Veysset', 'IMDb Page': 'https://www.imdb.com/name/nm0895526/?ref_=fn_nme_nme_1'}"
Antoinette Jadaone,"{'Director': 'Antoinette Jadaone', 'IMDb Page': 'https://www.imdb.com/name/nm3184677/?ref_=fn_nme_nme_1'}"
Inés Toharia Terán,"{'Director': 'Inés Toharia Terán', 'IMDb Page': 'https://www.imdb.com/name/nm7595956/?ref_=fn_nme_nme_1'}"
Ulrike Ottinger,"{'Director': 'Ulrike Ottinger', 'IMDb Page': 'https://www.imdb.com/name/nm0653200/?ref_=fn_nme_nme_1'}"
Brigitte Maria Mayer,"{'Director': 'Brigitte Maria Mayer', 'IMDb Page': 'https://www.imdb.com/name/nm3655287/?ref_=fn_nme_nme_1'}"
Sólveig Anspach,"{'Director': 'Sólveig Anspach', 'IMDb Page': 'https://www.imdb.com/name/nm0030681/?ref_=fn_nme_nme_1'}"
Mariana Chenillo,"{'Director': 'Mariana Chenillo', 'IMDb Page': 'https://www.imdb.com/name/nm1662689/?ref_=fn_nme_nme_1'}"
Houda Benyamina,"{'Director': 'Houda Benyamina', 'IMDb Page': 'https://www.imdb.com/name/nm3997700/?ref_=fn_nme_nme_1'}"
Mandie Fletcher,"{'Director': 'Mandie Fletcher', 'IMDb Page': 'https://www.imdb.com/name/nm0282064/?ref_=fn_nme_nme_1'}"
Marie-Louise Asseu,"{'Director': 'Marie-Louise Asseu', 'IMDb Page': 'https://www.imdb.com/name/nm10752725/?ref_=fn_nme_nme_1'}"
Susana Nobre,"{'Director': 'Susana Nobre', 'IMDb Page': 'https://www.imdb.com/name/nm1879535/?ref_=fn_nme_nme_1'}"
Chiara Edmands,"{'Director': 'Chiara Edmands', 'IMDb Page': 'https://www.imdb.com/name/nm0249439/?ref_=fn_nme_nme_1'}"
April Mullen,"{'Director': 'April Mullen', 'IMDb Page': 'https://www.imdb.com/name/nm0611983/?ref_=fn_nme_nme_1'}"
Alina Marazzi,"{'Director': 'Alina Marazzi', 'IMDb Page': 'https://www.imdb.com/name/nm0544967/?ref_=fn_nme_nme_1'}"
Mélanie Carrier,"{'Director': 'Mélanie Carrier', 'IMDb Page': 'https://www.imdb.com/name/nm4900888/?ref_=fn_nme_nme_1'}"
Marta Ferencová,"{'Director': 'Marta Ferencová', 'IMDb Page': 'https://www.imdb.com/name/nm2041689/?ref_=fn_nme_nme_1'}"
Emily Atef,"{'Director': 'Emily Atef', 'IMDb Page': 'https://www.imdb.com/name/nm1477692/?ref_=fn_nme_nme_1'}"
Eva Dahr,"{'Director': 'Eva Dahr', 'IMDb Page': 'https://www.imdb.com/name/nm0197232/?ref_=fn_nme_nme_1'}"
İlksen Başarır,"{'Director': 'İlksen Başarır', 'IMDb Page': 'https://www.imdb.com/name/nm2079185/?ref_=fn_nme_nme_1'}"
Natalia Bodiul,"{'Director': 'Natalia Bodiul', 'IMDb Page': 'https://www.imdb.com/name/nm4762704/?ref_=fn_nme_nme_1'}"
Gina Kim,"{'Director': 'Gina Kim', 'IMDb Page': 'https://www.imdb.com/name/nm2468185/?ref_=fn_nme_nme_1'}"
Marisa Sistach,"{'Director': 'Marisa Sistach', 'IMDb Page': 'https://www.imdb.com/name/nm0803112/?ref_=fn_nme_nme_1'}"
Sophie Fillières,"{'Director': 'Sophie Fillières', 'IMDb Page': 'https://www.imdb.com/name/nm0277230/?ref_=fn_nme_nme_1'}"
Naomi Kawase,"{'Director': 'Naomi Kawase', 'IMDb Page': 'https://www.imdb.com/name/nm0442905/?ref_=fn_nme_nme_1'}"
Isabel Kleefeld,"{'Director': 'Isabel Kleefeld', 'IMDb Page': 'https://www.imdb.com/name/nm0458562/?ref_=fn_nme_nme_1'}"
Omoni Oboli,"{'Director': 'Omoni Oboli', 'IMDb Page': 'https://www.imdb.com/name/nm3729477/?ref_=fn_nme_nme_1'}"
Maria Martinelli,"{'Director': 'Maria Martinelli', 'IMDb Page': 'https://www.imdb.com/name/nm0553370/?ref_=fn_nme_nme_1'}"
Manon Loizeau,"{'Director': 'Manon Loizeau', 'IMDb Page': 'https://www.imdb.com/name/nm4078688/?ref_=fn_nme_nme_1'}"
Lene Stæhr,"{'Director': 'Lene Stæhr', 'IMDb Page': 'https://www.imdb.com/name/nm1376510/?ref_=fn_nme_nme_1'}"
Heidi Specogna,"{'Director': 'Heidi Specogna', 'IMDb Page': 'https://www.imdb.com/name/nm0817458/?ref_=fn_nme_nme_1'}"
Catriona McKenzie,"{'Director': 'Catriona McKenzie', 'IMDb Page': 'https://www.imdb.com/name/nm1642908/?ref_=fn_nme_nme_1'}"
Sacha Polak,"{'Director': 'Sacha Polak', 'IMDb Page': 'https://www.imdb.com/name/nm2383508/?ref_=fn_nme_nme_1'}"
Wong Chun-chun,"{'Director': 'Wong Chun-chun', 'IMDb Page': 'https://www.imdb.com/name/nm1205568/?ref_=fn_nme_nme_1'}"
Jelena Jeremejewa,"{'Director': 'Jelena Jeremejewa', 'IMDb Page': 'https://www.imdb.com/name/nm10184929/?ref_=fn_nme_nme_1'}"
Chigumi Ōbayashi,"{'Director': 'Chigumi Ōbayashi', 'IMDb Page': 'https://www.imdb.com/name/nm0643168/?ref_=fn_nme_nme_1'}"
Lilian Franck,"{'Director': 'Lilian Franck', 'IMDb Page': 'https://www.imdb.com/name/nm0290437/?ref_=fn_nme_nme_1'}"
Caroline Vignal,"{'Director': 'Caroline Vignal', 'IMDb Page': 'https://www.imdb.com/name/nm0897009/?ref_=fn_nme_nme_1'}"
Cæcilia Holbek Trier,"{'Director': 'Cæcilia Holbek Trier', 'IMDb Page': 'https://www.imdb.com/name/nm0389993/?ref_=fn_nme_nme_1'}"
Ana Rodríguez Rosell,"{'Director': 'Ana Rodríguez Rosell', 'IMDb Page': 'https://www.imdb.com/name/nm1957810/?ref_=fn_nme_nme_1'}"
Giselle Portenier,"{'Director': 'Giselle Portenier', 'IMDb Page': 'https://www.imdb.com/name/nm1465510/?ref_=fn_nme_nme_1'}"
Ana Murugarren,"{'Director': 'Ana Murugarren', 'IMDb Page': 'https://www.imdb.com/name/nm0615482/?ref_=fn_nme_nme_1'}"
Gauri Shinde,"{'Director': 'Gauri Shinde', 'IMDb Page': 'https://www.imdb.com/name/nm1903006/?ref_=fn_nme_nme_1'}"
Evrim Kaya,"{'Director': 'Evrim Kaya', 'IMDb Page': 'https://www.imdb.com/name/nm3301311/?ref_=fn_nme_nme_1'}"
Anna Zamecka,"{'Director': 'Anna Zamecka', 'IMDb Page': 'https://www.imdb.com/name/nm8361464/?ref_=fn_nme_nme_1'}"
Claire Devers,"{'Director': 'Claire Devers', 'IMDb Page': 'https://www.imdb.com/name/nm0222409/?ref_=fn_nme_nme_1'}"
Gabriela David,"{'Director': 'Gabriela David', 'IMDb Page': 'https://www.imdb.com/name/nm1006816/?ref_=fn_nme_nme_1'}"
Carla Subirana,"{'Director': 'Carla Subirana', 'IMDb Page': 'https://www.imdb.com/name/nm2407065/?ref_=fn_nme_nme_1'}"
Mar Targarona,"{'Director': 'Mar Targarona', 'IMDb Page': 'https://www.imdb.com/name/nm0850173/?ref_=fn_nme_nme_1'}"
Věra Jordánová,"{'Director': 'Věra Jordánová', 'IMDb Page': 'https://www.imdb.com/name/nm0430236/?ref_=fn_nme_nme_1'}"
Susan Scott,"{'Director': 'Susan Scott', 'IMDb Page': 'https://www.imdb.com/name/nm2174090/?ref_=fn_nme_nme_1'}"
Neema Barnette,"{'Director': 'Neema Barnette', 'IMDb Page': 'https://www.imdb.com/name/nm0056006/?ref_=fn_nme_nme_1'}"
Sai Paranjpye,"{'Director': 'Sai Paranjpye', 'IMDb Page': 'https://www.imdb.com/name/nm0660936/?ref_=fn_nme_nme_1'}"
Nili Tal,"{'Director': 'Nili Tal', 'IMDb Page': 'https://www.imdb.com/name/nm3546887/?ref_=fn_nme_nme_1'}"
Chinonye Chukwu,"{'Director': 'Chinonye Chukwu', 'IMDb Page': 'https://www.imdb.com/name/nm2703824/?ref_=fn_nme_nme_1'}"
Federica Di Giacomo,"{'Director': 'Federica Di Giacomo', 'IMDb Page': 'https://www.imdb.com/name/nm2639010/?ref_=fn_nme_nme_1'}"
Yoon-Ha Chang,"{'Director': 'Yoon-Ha Chang', 'IMDb Page': 'https://www.imdb.com/name/nm4926818/?ref_=fn_nme_nme_1'}"
Alessandra Celesia,"{'Director': 'Alessandra Celesia', 'IMDb Page': 'https://www.imdb.com/name/nm1313895/?ref_=fn_nme_nme_1'}"
Ana-Felicia Scutelnicu,"{'Director': 'Ana-Felicia Scutelnicu', 'IMDb Page': 'https://www.imdb.com/name/nm3118704/?ref_=fn_nme_nme_1'}"
Nicole Dorsey,"{'Director': 'Nicole Dorsey', 'IMDb Page': 'https://www.imdb.com/name/nm3425950/?ref_=fn_nme_nme_1'}"
Betty Thomas,"{'Director': 'Betty Thomas', 'IMDb Page': 'https://www.imdb.com/name/nm0858525/?ref_=fn_nme_nme_1'}"
Pooja Bhatt,"{'Director': 'Pooja Bhatt', 'IMDb Page': 'https://www.imdb.com/name/nm0080324/?ref_=fn_nme_nme_1'}"
Irma-Kinga Stelmach,"{'Director': 'Irma-Kinga Stelmach', 'IMDb Page': 'https://www.imdb.com/name/nm1719128/?ref_=fn_nme_nme_1'}"
